tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
he8	-1	3	19	body	NN	L+H*	d i	0	H-L%	4	0.58444806	0.53691489	0.551683575	0.540946367	0.622332348
he8	-1	3	19	he	PRP	null	h i	1	H-L%	4	0.527310002	0.486224909	0.498502005	0.489359583	0.55897144
he8	-1	3	19	was	VBD	L+H*	w A z	1	H-L%	4	0.499733534	0.463499229	0.474562827	0.466420212	0.524161598
he8	-1	3	19	ill	JJ	L+H*	I l	1	H-L%	4	0.4591987	0.433659559	0.439391383	0.430181316	0.477106986
he8	-1	3	19	","	","	null	null	null	H-L%	4	0.410406528	0.394517124	0.396042051	0.386762785	0.422315382
he8	-1	3	20	and	CC	null	{ n d	1	L-L%	6	0.347026649	0.339933652	0.337418027	0.32781776	0.353552766
he8	-1	3	20	gave	VBD	L+H*	g EI v	1	L-L%	6	0.306896876	0.303942554	0.30012661	0.291445042	0.30809463
he8	-1	3	20	The	DT	null	D @	0	L-L%	6	0.253887665	0.256195192	0.250179305	0.242118712	0.251269509
he8	-1	3	20	clergy	NN	L+H*	k l r=	1	L-L%	6	0.224880752	0.228135841	0.222461586	0.215875425	0.218017034
he8	-1	3	20	clergy	NN	L+H*	dZ i	0	L-L%	6	0.220556446	0.226743386	0.220058713	0.213102366	0.213110577
he8	-1	3	20	ill	JJ	L+H*	I l	1	L-L%	6	0.216264196	0.224893204	0.217233028	0.210249453	0.208802651
he8	-1	3	20	example	NN	!H*	I g	0	L-L%	6	0.225150077	0.235243329	0.227320881	0.220172405	0.217347673
he8	-1	3	20	example	NN	!H*	z { m	1	L-L%	6	0.233148813	0.248811624	0.238026485	0.22926496	0.224762989
he8	-1	3	20	example	NN	!H*	p @ l	0	L-L%	6	0.256461632	0.269076983	0.26013657	0.251030751	0.25280741
he8	-1	3	20	.	.	null	null	null	L-L%	6	0.295179174	0.304041225	0.296354031	0.287089838	0.295336774
he8	-1	1	1	Noble	NNP	L+H*	n @U	1	H-L%	4	0.333525505	0.338893409	0.332424889	0.32309467	0.337823981
he8	-1	1	1	Noble	NNP	L+H*	b @ l	0	H-L%	4	0.373485747	0.374788971	0.369654902	0.36003148	0.382359895
he8	-1	1	1	madam	JJ	L+H*	m {	1	H-L%	4	0.416201257	0.413317856	0.409451132	0.399468952	0.43019459
he8	-1	1	1	madam	JJ	L+H*	d @ m	0	H-L%	4	0.463966214	0.455679965	0.453319527	0.442678218	0.483013458
he8	-1	1	1	","	","	null	null	null	H-L%	4	0.521070422	0.508447403	0.506629704	0.494795266	0.546011875
he8	-1	1	2	Men's	NNS	L+H*	m E n	1	H-L%	4	0.589310137	0.569011841	0.56949271	0.557268515	0.620643102
he8	-1	1	2	Men's	POS	null	z	0	H-L%	4	0.682071932	0.651124618	0.65573484	0.643166041	0.719635901
he8	-1	1	2	evil	JJ	L+H*	i	1	H-L%	4	0.762057595	0.726374743	0.731405591	0.71606769	0.805624235
he8	-1	1	2	evil	JJ	L+H*	v @ l	0	H-L%	4	0.746960175	0.70762949	0.713725935	0.700200362	0.791603224
he8	-1	1	2	manners	NNS	L+H*	m {	1	H-L%	4	0.727883731	0.690198907	0.697146539	0.686936708	0.763658938
he8	-1	1	2	manners	NNS	L+H*	n r= z	0	H-L%	4	0.682936248	0.652743797	0.656845061	0.64869956	0.70896768
he8	-1	1	2	live	VBP	null	l AI v	1	H-L%	4	0.640742911	0.617716026	0.619056284	0.612704044	0.657323628
he8	-1	1	2	in	IN	null	I n	1	H-L%	4	0.622476608	0.60585249	0.604489412	0.599753791	0.629232563
he8	-1	1	2	brass	NN	L+H*	b r { s	1	H-L%	4	0.5947942	0.582101989	0.580258464	0.577859447	0.59318091
he8	-1	1	2	;	:	null	null	null	H-L%	4	0.579724091	0.572184192	0.569165875	0.56809687	0.56851195
he8	-1	1	3	their	PRP$	null	D E r	1	L-L%	5	0.538835345	0.536456656	0.532243302	0.53267814	0.519394402
he8	-1	1	3	virtues	NNS	L+H*	v r=	1	L-L%	5	0.500738425	0.503028808	0.497597338	0.499236758	0.473355206
he8	-1	1	3	virtues	NNS	L+H*	tS u z	0	L-L%	5	0.4612221	0.466454876	0.460545249	0.463895877	0.42731695
he8	-1	1	3	We	PRP	null	w i	1	L-L%	5	0.436453094	0.440406678	0.436614232	0.44141188	0.399496122
he8	-1	1	3	write	VBP	null	r AI t	1	L-L%	5	0.39377575	0.400768938	0.396326405	0.401023723	0.355723722
he8	-1	1	3	in	IN	null	I n	1	L-L%	5	0.336072497	0.34881324	0.343155233	0.347622621	0.298098475
he8	-1	1	3	water	NN	!H*	w O	1	L-L%	5	0.30382702	0.318011429	0.312423543	0.318083169	0.265421459
he8	-1	1	3	water	NN	!H*	t r=	0	L-L%	5	0.278064071	0.297875669	0.290819652	0.296023047	0.238253172
he8	-1	1	3	.	.	null	null	null	L-L%	5	0.240822966	0.261691445	0.254589103	0.258420911	0.207682708
he8	-1	2	1	May	MD	null	m EI	1	H-H%	6	0.231892251	0.249283204	0.244418851	0.248648637	0.202990983
he8	-1	2	1	it	PRP	null	I t	1	H-H%	6	0.2222468	0.237155916	0.23497496	0.239730642	0.19678209
he8	-1	2	1	please	VB	H*	p l i z	1	H-H%	6	0.207346446	0.221050045	0.219645844	0.223626178	0.185782372
he8	-1	2	1	your	PRP$	null	j O r	1	H-H%	6	0.17023736	0.185604393	0.183836072	0.186606117	0.153693167
he8	-1	2	1	highness	NN	H*	h AI	1	H-H%	6	0.144013195	0.159922791	0.15851328	0.160466852	0.13131513
he8	-1	2	1	highness	NN	H*	n @ s	0	H-H%	6	0.13995769	0.154673662	0.153788572	0.155819321	0.130177523
he8	-1	2	1	To	TO	null	t u	1	H-H%	6	0.134091301	0.148145492	0.147814548	0.149841863	0.126541394
he8	-1	2	1	hear	VB	H*	h I r	1	H-H%	6	0.135363891	0.1493126	0.149017402	0.150632305	0.129674082
